pair_id,subset,L1,a1,b1,L2,a2,b2,DV
1106,BFD-D65,71.282639,-7.052512,44.795494,71.663429,-6.113766,46.212288,0.898551
1107,BFD-D65,71.282639,-7.052512,44.795494,71.063538,-9.834064,45.700779,2.695650
1108,BFD-D65,71.282639,-7.052512,44.795494,70.939812,-8.657349,46.254623,1.913040
1109,BFD-D65,71.282639,-7.052512,44.795494,70.691292,-10.177248,44.336166,3.188410
1110,BFD-D65,71.282639,-7.052512,44.795494,71.588890,-6.200951,45.611439,1.797100
1111,BFD-D65,71.282639,-7.052512,44.795494,70.795013,-9.924723,42.496162,2.376810
1112,BFD-D65,71.282639,-7.052512,44.795494,71.138977,-7.677126,41.475903,1.304350
1113,BFD-D65,71.282639,-7.052512,44.795494,71.636337,-8.132483,46.650795,1.333330
1114,BFD-D65,65.592659,30.518431,37.095493,65.443893,35.442749,37.130245,3.530750
1115,BFD-D65,65.592659,30.518431,37.095493,65.810898,27.048811,36.836468,1.526200
1116,BFD-D65,65.592659,30.518431,37.095493,65.113106,31.658255,38.135792,0.592255
1117,BFD-D65,65.592659,30.518431,37.095493,66.089806,34.973812,39.371635,2.186790
1118,BFD-D65,65.592659,30.518431,37.095493,66.481705,30.508141,42.480831,2.369020
1119,BFD-D65,65.592659,30.518431,37.095493,65.935089,28.613585,37.884537,1.230070
1120,BFD-D65,65.592659,30.518431,37.095493,66.097527,29.908379,40.428902,2.277900
1121,BFD-D65,65.592659,30.518431,37.095493,65.981567,26.952259,36.634029,1.275630
1122,BFD-D65,65.592659,30.518431,37.095493,65.810898,27.048811,36.836468,2.961280
1123,BFD-D65,65.592659,30.518431,37.095493,66.236244,30.058823,39.301487,1.685650
1124,BFD-D65,65.592659,30.518431,37.095493,65.795349,28.472292,38.988216,2.277900
1125,BFD-D65,65.592659,30.518431,37.095493,65.880806,33.342068,40.743328,1.503420
1126,BFD-D65,65.592659,30.518431,37.095493,65.966080,28.381781,38.781651,1.936220
1127,BFD-D65,65.592659,30.518431,37.095493,65.057709,30.665947,39.804905,1.822320
1128,BFD-D65,46.843018,9.459996,-14.706019,46.578411,12.024842,-15.567065,2.521570
